orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
123163683205322,3034933556,10177237543,1669638465,1,48361838,423318317,"Skin Suitability:soft
Absorption:good

Nice packaging bottle cepat sampai, thank you seller bagi free gift cantik getah rambut ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️ baru nak try product kayman, adik kata best so ni bru nak cuba hope sesuai dengan muka yang combination skin ni. Botol dia cantik sangat lahh 🫶🏻🫶🏻🫶🏻 thanks seller barang bungkus dgn rapi dan kemas balutan tak mudah pecah kalau baling parcel tu 🤪 ok i baru nak try ni",5,soft,good,Skintella Moisturzer
120405943130720,3034933556,9917278321,1666883787,1,331375660,423318317,"Absorption:Good
Skin Suitability:Suits to my skin

Have been used this for 3 months. So far good to my skin. Good packing, fast delivery & got free gift also. Thank you 👍",5,,,Skintella Moisturzer
97572690570477,3034933556,7454112888,1644507971,1,39439181,423318317,"Skin Suitability:so far okay.
Absorption:good

Product receive in good condition. Also good for my skin (so far). Recommended seller. Thanks free gift Order 3hb, received 6hb",5,so far okay.,good,HoneyGlo + Free Mitt
86230457484119,3034933556,6228142219,1633795772,1,540885189,423318317,"Item received in good condition, lots of free gifts, well packed and fast delivery by seller also in love with the cute packaging box 🥰 thank you so much ya..InshaAllah will repeat again in the future if it suits my skin 🌹",5,,,
99418087617632,3034933556,7911570781,1648660714,1,40951113,423318317,"Skin Suitability:my skin loves it
Absorption:the best

Thank you seller.. packaging kemas, barang sampai dgn selamat. Kebetulan beli time dpt diskaun 10% so beli banyak teruss.. definitely gonna repeat. P/s sorry video tak lepas sbb high resolution. Terpaksa pakai video lain.",5,my skin loves it,the best,Skintella Moisturzer
97647162682292,3034933556,7437985767,1644381565,1,309374448,423318317,"Skin Suitability:Suitable for my oily skin
Absorption:Cepat absorb

Penghantaran pun cepat.. seller siap bagi free gift.. so cute.. pembungkusan pun elok..barang semua ok x rosak .",5,Suitable for my oily skin,Cepat absorb,Skintella 2.0 15ml☘️
144497274238108,3034933556,12154598963,1690973219,1,988386726,423318317,"Skin Suitability:normal skin

2nd purchase of honeyglo to exfoliate my dead skin. Feels smoother after use. 
My 1st time using rosa glow treatment essence can't really review this product YET.
Bought these both during promo. Fast delivery & item received in well condition.",5,,,Exfoliant + Essence
121502600114780,3034933556,9999781044,1667880018,1,78548715,423318317,"Product sampai semua cukup siap seller bagi banyak free gift!! Thank you so much seller,🥰 order 7/11 pukul 2pm, 8/11 pukul 12pm dah sampai, fast delivery 👍 wrap pun tebal and takde barang rosak, 🌟 🌟 🌟 🌟 🌟",5,,,Serum + Moisturizer
86230096442320,3034933556,6228107848,1633795506,1,540885189,423318317,"Thank you seller! By far the best seller! received in less than 24 hours!

Packaging very nice. Plus free gifts, got the cutest note book & headband . Sooo good! Excellent service by seller. Received with thanks.",5,,,
108144300265725,3034933556,8598458950,1654598647,1,142418628,423318317,"Skin Suitability:i have oily skin and they both work great on my skin
Absorption:very great

i have used both of these products dah lama dah but baru first time beli from this seller. these products mmg my holy grail i suka pakai and works on my skin. and delivery mmg cpt sehari je dh sampai. so if anyone yg mencari good soothing products for redness and acne and delivery cpt beli la",5,i have oily skin and they both work great on my skin,very great,Travel Serum 2.0
113497695255695,3034933556,9245444285,1660292630,1,48452181,423318317,"Skin Suitability:Suitable with my oily skin
Absorption:Good!

Thanks for the manyyyyyyyyy free gifts. Seller shipped the product very fast, all of the item wrapped properly with bubble wrap so the product all arrived with perfect conditions. Thanks seller! Will repeat again 🥳🥳🥳🥳",5,Suitable with my oily skin,Good!,HoneyGlo + Free Mitt
105589838669029,3034933556,8354867351,1652408802,1,121058753,423318317,"Skin Suitability:focus more on hydration
Absorption:watery & fast absorbtion

my first time try this essence. hopefully it works well on my skin. it can reduce acne, fade acne scar, brighten the skin, give the skin more hydrate. shipping bery fast. tq seller",5,focus more on hydration,watery & fast absorbtion,Travel Essence 30ml
112888764123065,3034933556,9168536387,1659628288,1,231480842,423318317,"Skin Suitability:mine is oily, so far so good
Absorption:fast absorption

finally new skintella 😍 dah lama tunggu botol baru and besar. cantik la new packaging! better than 1.0. texture pun best. semoga makin effective! thank you seller!",5,"mine is oily, so far so good",fast absorption,NEW Skintella Serum
102755178601769,3034933556,7981099319,1649251811,1,48786956,423318317,"Skin Suitability:normal
Absorption:Quick

Seller balut dgn kemas ye. Kayman siap ada authentication QR code utk tahu ori ke tak kemainnn kau, of course la original. Barang semua elok siap luck dpt freegift exfoliating glove. Barang pon sampai cepat. Cuma tension sbb serum 2.0 ni tak keluar lagi botol besar so kena catu kalau pakai 😂",5,normal,Quick,Skintella 2.0 15ml
113599549224608,3034933556,9245294226,1660291902,1,112585759,423318317,"Skin Suitability:first time
Absorption:hope it do wonder!

The service is really good. Fast shipping and nice packaging with cute hair tie. The product not yet try. This is my first time. So hope does it really wonder my skin that is oily. Recommended to all for this seller service",5,first time,hope it do wonder!,Skintella Moisturzer
