orderid,itemid,userid,shopid,rating_star,satisfaction_label
145303719216542,18303291794,636721188,774895487,5,Very Satisfied
150501562279037,18303291794,944141475,774895487,5,Very Satisfied
148472005200783,18303291794,415354264,774895487,3,Neutral
142067261239577,18303291794,68323355,774895487,5,Very Satisfied
140833214293176,18303291794,981376385,774895487,5,Very Satisfied
149336279203112,18303291794,570838233,774895487,2,Dissatisfied
127999785242928,18303291794,317140960,774895487,5,Very Satisfied
147487772214991,18303291794,536338819,774895487,5,Very Satisfied
155133958232495,18303291794,214737961,774895487,5,Very Satisfied
157005037294176,18303291794,72804832,774895487,5,Very Satisfied
117516846251294,18303291794,66418480,774895487,5,Very Satisfied
125855578139468,18303291794,4019916,774895487,5,Very Satisfied
128867757261621,18303291794,8473544,774895487,5,Very Satisfied
153503013208097,18303291794,984983778,774895487,5,Very Satisfied
158509637296796,18303291794,709124207,774895487,5,Very Satisfied
118377915295437,18303291794,48029512,774895487,5,Very Satisfied
148357891232166,18303291794,118437882,774895487,4,Satisfied
153118215214691,18303291794,325871500,774895487,5,Very Satisfied
161950196248498,18303291794,83806911,774895487,5,Very Satisfied
159664413282265,18303291794,163772122,774895487,5,Very Satisfied
147889864212852,18303291794,805172904,774895487,5,Very Satisfied
118294244297354,18303291794,60955316,774895487,5,Very Satisfied
162428126286456,18303291794,568905148,774895487,3,Neutral
145796725224230,18303291794,367298046,774895487,3,Neutral
163734906216514,18303291794,111431269,774895487,5,Very Satisfied
165295700275886,18303291794,39843013,774895487,5,Very Satisfied
165298171260766,18303291794,366754931,774895487,5,Very Satisfied
144748866255689,18303291794,24820830,774895487,5,Very Satisfied
164825046265144,18303291794,41114152,774895487,5,Very Satisfied
157043498218774,18303291794,212154047,774895487,4,Satisfied
152110838277083,18303291794,370886510,774895487,5,Very Satisfied
144725166225450,18303291794,115854670,774895487,5,Very Satisfied
155557553239121,18303291794,162269097,774895487,5,Very Satisfied
151371426213716,18303291794,136863888,774895487,5,Very Satisfied
159075521233951,18303291794,273368386,774895487,5,Very Satisfied
153715637290335,18303291794,355783208,774895487,5,Very Satisfied
158660408264023,18303291794,180547045,774895487,5,Very Satisfied
159446132240474,18303291794,183369850,774895487,5,Very Satisfied
157255639212535,18303291794,388052495,774895487,5,Very Satisfied
146327673293481,18303291794,186534036,774895487,5,Very Satisfied
147459622265639,18303291794,834796865,774895487,5,Very Satisfied
147353604274680,18303291794,893093502,774895487,5,Very Satisfied
148906112294741,18303291794,306731472,774895487,5,Very Satisfied
151418651271223,18303291794,346901038,774895487,5,Very Satisfied
151414104261491,18303291794,812658421,774895487,5,Very Satisfied
151030658234081,18303291794,1040578584,774895487,5,Very Satisfied
154481886200445,18303291794,1030053814,774895487,5,Very Satisfied
156158297242291,18303291794,1130296129,774895487,5,Very Satisfied
155628842215660,18303291794,701949176,774895487,5,Very Satisfied
154320915261875,18303291794,705109369,774895487,5,Very Satisfied
157301750211665,18303291794,614148363,774895487,5,Very Satisfied
158828247261527,18303291794,133775705,774895487,5,Very Satisfied
154403521226072,18303291794,370508973,774895487,4,Satisfied
165634089209371,18303291794,840710191,774895487,4,Satisfied
155479004236137,18303291794,303833666,774895487,3,Neutral
143875062262642,18303291794,138567972,774895487,3,Neutral
143800651222228,18303291794,872286470,774895487,5,Very Satisfied
142332138294868,18303291794,344037013,774895487,3,Neutral
142419202204903,18303291794,229912140,774895487,4,Satisfied
140436120228568,18303291794,301118795,774895487,5,Very Satisfied
142029077252357,18303291794,811905874,774895487,5,Very Satisfied
139404410238359,18303291794,528071974,774895487,5,Very Satisfied
139870476233939,18303291794,109917040,774895487,5,Very Satisfied
138971053216154,18303291794,669754499,774895487,5,Very Satisfied
138288284214976,18303291794,27093222,774895487,4,Satisfied
136824782256735,18303291794,335990788,774895487,5,Very Satisfied
136612742283526,18303291794,43922816,774895487,5,Very Satisfied
135768528237068,18303291794,140026652,774895487,5,Very Satisfied
135613763248630,18303291794,408294274,774895487,5,Very Satisfied
131294334251851,18303291794,276604455,774895487,4,Satisfied
133531994216917,18303291794,666917626,774895487,5,Very Satisfied
129790387258512,18303291794,130540999,774895487,5,Very Satisfied
126402496174050,18303291794,101612676,774895487,5,Very Satisfied
127309165259490,18303291794,62201140,774895487,5,Very Satisfied
127829571290371,18303291794,239972018,774895487,5,Very Satisfied
124377104158262,18303291794,50318456,774895487,5,Very Satisfied
123130019181458,18303291794,140026652,774895487,5,Very Satisfied
121912846102971,18303291794,162607079,774895487,5,Very Satisfied
119147670295586,18303291794,185682519,774895487,5,Very Satisfied
119147741257958,18303291794,185682519,774895487,5,Very Satisfied
119232405276255,18303291794,82743835,774895487,5,Very Satisfied
113143058125105,18303291794,12394848,774895487,5,Very Satisfied
122639020246473,18303291794,140090941,774895487,3,Neutral
126284444137611,18303291794,233111669,774895487,5,Very Satisfied
123238989265429,18303291794,400504997,774895487,5,Very Satisfied
125135237265160,18303291794,101512799,774895487,5,Very Satisfied
121353586294193,18303291794,449149932,774895487,4,Satisfied
114485342294321,18303291794,171864890,774895487,5,Very Satisfied
