orderid,itemid,userid,shopid,ctime,rating_star,satisfaction_label
161884881249134,18519263278,321604252,539564590,2024-02-25 10:33,5,Very Satisfied
160537120211994,18519263278,94746936,539564590,2024-02-09 17:37,5,Very Satisfied
158045955215607,18519263278,855717909,539564590,2024-01-11 18:59,4,Satisfied
152988017222309,18519263278,336012677,539564590,2023-11-22 21:19,5,Very Satisfied
154968035209967,18519263278,92581287,539564590,2023-12-11 11:39,5,Very Satisfied
154646571277446,18519263278,939667803,539564590,2023-12-06 10:12,4,Satisfied
164949500261882,18519263278,325595980,539564590,2024-03-30 23:19,5,Very Satisfied
165216638232980,18519263278,85725150,539564590,2024-04-04 14:40,5,Very Satisfied
165621629211942,18519263278,220530160,539564590,2024-04-06 02:37,5,Very Satisfied
158494915271650,18519263278,319698444,539564590,2024-01-15 15:07,5,Very Satisfied
164120507233068,18519263278,240875894,539564590,2024-03-31 18:05,5,Very Satisfied
160139482240779,18519263278,466816201,539564590,2024-03-03 20:06,4,Satisfied
160154037221260,18519263278,67094283,539564590,2024-02-04 22:41,5,Very Satisfied
162035115251116,18519263278,147509181,539564590,2024-02-26 13:10,5,Very Satisfied
165221356264338,18519263278,110265228,539564590,2024-03-31 09:51,5,Very Satisfied
160998394284001,18519263278,158850340,539564590,2024-02-26 23:12,4,Satisfied
162478265265493,18519263278,32020463,539564590,2024-03-04 15:55,5,Very Satisfied
158419503231603,18519263278,224571278,539564590,2024-01-17 16:09,5,Very Satisfied
162033730271650,18519263278,20442061,539564590,2024-03-19 16:19,5,Very Satisfied
155454832271849,18519263278,159901426,539564590,2023-12-10 20:17,5,Very Satisfied
158600245258277,18519263278,166684965,539564590,2024-01-20 22:55,3,Neutral
157478501272195,18519263278,201633737,539564590,2024-01-10 11:34,5,Very Satisfied
162467617255332,18519263278,211859058,539564590,2024-03-03 12:28,5,Very Satisfied
160501264291938,18519263278,215966997,539564590,2024-02-12 13:20,5,Very Satisfied
157359589236970,18519263278,295377218,539564590,2024-01-05 16:25,5,Very Satisfied
160514999257576,18519263278,216811190,539564590,2024-02-17 00:59,5,Very Satisfied
153191174210723,18519263278,223723536,539564590,2023-11-17 19:46,5,Very Satisfied
165036300250292,18519263278,301740226,539564590,2024-03-31 06:56,5,Very Satisfied
158618854217130,18519263278,318009331,539564590,2024-01-16 02:27,5,Very Satisfied
159949833274676,18519263278,303389353,539564590,2024-01-31 18:47,5,Very Satisfied
156781671209238,18519263278,326714434,539564590,2023-12-26 13:45,5,Very Satisfied
159245804234700,18519263278,136055686,539564590,2024-01-20 15:01,5,Very Satisfied
156987903272498,18519263278,367650367,539564590,2024-01-04 22:08,5,Very Satisfied
162203313291631,18519263278,105561912,539564590,2024-03-02 15:41,5,Very Satisfied
160728554262944,18519263278,35413871,539564590,2024-02-28 10:11,5,Very Satisfied
165568877218074,18519263278,527963252,539564590,2024-04-06 00:21,5,Very Satisfied
161366196288454,18519263278,51385960,539564590,2024-02-24 20:49,5,Very Satisfied
157392248213961,18519263278,136508166,539564590,2024-01-06 21:33,5,Very Satisfied
165639643259962,18519263278,209808217,539564590,2024-04-09 13:25,5,Very Satisfied
162200613289862,18519263278,355179108,539564590,2024-03-12 00:43,5,Very Satisfied
164393202224237,18519263278,233053769,539564590,2024-03-21 16:29,5,Very Satisfied
157105557284676,18519263278,414829812,539564590,2023-12-29 16:50,5,Very Satisfied
160714705293654,18519263278,385045922,539564590,2024-03-07 14:19,5,Very Satisfied
165560793287477,18519263278,232107119,539564590,2024-04-08 12:54,5,Very Satisfied
160572755230621,18519263278,447965574,539564590,2024-03-06 04:31,5,Very Satisfied
151775298216837,18519263278,1062548795,539564590,2023-11-25 21:34,5,Very Satisfied
156436084230747,18519263278,878507213,539564590,2023-12-23 13:43,5,Very Satisfied
159107942267634,18519263278,938137221,539564590,2024-01-20 00:12,5,Very Satisfied
158888636246512,18519263278,1155111784,539564590,2024-01-22 18:49,5,Very Satisfied
158951298244699,18519263278,695237578,539564590,2024-01-23 13:53,5,Very Satisfied
159116473260628,18519263278,1044263085,539564590,2024-01-25 13:52,5,Very Satisfied
159372939257484,18519263278,119057280,539564590,2024-02-03 00:21,5,Very Satisfied
159680211254185,18519263278,115953987,539564590,2024-01-31 16:37,5,Very Satisfied
158663441246688,18519263278,842963754,539564590,2024-01-27 20:49,5,Very Satisfied
161875908250477,18519263278,541402959,539564590,2024-02-23 12:42,5,Very Satisfied
161089214255464,18519263278,968221196,539564590,2024-02-26 21:37,5,Very Satisfied
162208216224585,18519263278,854100189,539564590,2024-02-26 17:51,5,Very Satisfied
162400252247398,18519263278,691972314,539564590,2024-03-02 00:12,5,Very Satisfied
160130795231266,18519263278,716141662,539564590,2024-03-01 01:50,5,Very Satisfied
160831853285396,18519263278,1181011772,539564590,2024-03-05 10:54,5,Very Satisfied
163139783289227,18519263278,694440282,539564590,2024-03-08 23:43,5,Very Satisfied
163169132205896,18519263278,593927612,539564590,2024-03-13 03:51,5,Very Satisfied
163582853223904,18519263278,357000800,539564590,2024-03-18 09:55,5,Very Satisfied
161956469298017,18519263278,1052156096,539564590,2024-03-19 22:11,5,Very Satisfied
163577214233111,18519263278,939816625,539564590,2024-03-21 21:59,5,Very Satisfied
165743181235782,18519263278,873286450,539564590,2024-04-06 13:08,5,Very Satisfied
164669533298706,18519263278,69148642,539564590,2024-04-08 19:02,5,Very Satisfied
163434913268222,18519263278,387027503,539564590,2024-03-19 22:30,4,Satisfied
