orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
161399052260485,24008606428,14187431490,1707818806,1,1185259712,1039472330,"the parcel arrived safely! Walang gasgas, walang sira, walang kulang. This is my 1st time to buy mystery box  here in shopee. At first kinakabahan ako dahil di ako sanay mamili ng gadgets online tapos sa ganitong halaga pa but its legit and sobrang bait ni seller hehehe Thankyouu so much seller",5,,,
161491591290381,24008606428,14193816519,1707898706,1,1185953295,1039472330,"the parcel arrived safely! Walang gasgas, walang sira, walang kulang. This is my 1st time to buy mystery box  here in shopee. At first kinakabahan ako dahil di ako sanay mamili ng gadgets online tapos sa ganitong halaga pa but its legit and sobrang bait ni seller hehehe Thankyouu so much seller",5,,,
160191618242144,24008606428,14053716330,1706689856,1,1169827522,1039472330,"Legit here guys, order na kayo. 1st time ko lng mag order. Di kayo magsisisi legit brand new talaga 🤗🤗 and well pack safe safe darating si item sainyo..",5,,,
160191520214393,24008606428,14053381872,1706688010,1,1169848879,1039472330,Legit po ang cellphone OMG!!! Ganda ng packaging balot na balot.. hindi tinipid ang bubble wrap. Super thank you seller. Goods ang produkto nyu TY MWAMWA,5,,,
160192106292077,24008606428,14053480012,1706688552,1,1169853498,1039472330,ang ganda ng cellphone grabe nakakatuwa ang bilis pa ng delivery 2days lang at very safe ang packaging.malaki din ang discount namin dahil sa voucher.linaw ng camera.at 256gb narin kaya matagal din ito mapuno.may free case din na transparent.Thank you po seller hope madami pang order sa inyo seller dahil superr legit ka,5,,,
161609489232897,24008606428,14209693344,1708060977,1,1186934124,1039472330,"Legit na legit.. Maganda siya, sobrang nagustuhan ng anak ko. As expected hindi ganun kalinaw camera niya. Matagal malobat. Worth it sa price nya. Thank you so much seller! Thank you shopee",5,,,
160993878255638,24008606428,14184286564,1707793177,1,1181442726,1039472330,"getting my brand new phone thank you worthy seller surname Lai ❤️ Natanggap ang item in good condition at walang damage .. thank you shopee😊❤️❤️ Fast shipping, great phone ❤️ ❤️",5,,,
161402031209559,24008606428,14187329619,1707818024,1,1185287022,1039472330,"At first i doubt ordering to this shop, but when I review all the feedbacks so far ok naman so I take risk kasi nga gusto ko ang item and ang mas maganda pa nakuha ko xa sa mas cheaper sa price nya compared sa originalnprice nya. Sobrang ganda talaga ng Item. Kaya sobrang happy ko and very responsive ang seller . At sa mga may balak omorder dito atnag dadalawang isip diyan trust me. Proven and tested ko po supper legit po sila. Sobrang happy ko dito na shop. Maraming salamat po",5,,,
161341275265563,24008606428,14187300694,1707817800,1,1184869051,1039472330,hank you so much seller❤️ I was happy that the parcel was in a good condition. It was my firstphonesuper legit ng shop nato thank you seller 🥰,5,,,
161347385287022,24008606428,14187480680,1707819173,1,1184920859,1039472330,"No damaged ✅ Correct variation ✅ Complete ✅ 
Thank you seller shopee and courier for the smooth transaction, my parcel arrived safe and secured.
0:08",5,,,
