orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star
160475851296341,25711275011,14086690175,1706939352,1,1125092598,1066504758,"Wow! The best quality product 💯 legit at very affordable price! 😍😍😍.. So convenient to use.. Excellent quality, arrive in good condition and well-package! Highly recommended! Guys, grab yours now! The seller is very accommodating. Thank you seller! I love the product so much 🥰😘!",5
160475424210151,25711275011,14086763468,1706939740,1,1125069972,1066504758,"Thank you so much seller ibought two tablet one is for me and the other one is for my sister and we love it so muchh, The quality of the product is good, the price is very cheap, the capacity is good, the game is smooth, and the game is not interrupted. 💕 The delivery of the product was very fast, the packaging is well cushioned, I give it five stars.🥰",5
160242417233326,25711275011,14062759175,1706763570,1,1171102443,1066504758,Thank you so much seller and Shopee❤️ unexpected talaga sa pagpili niyo sakin as in so super happy nakakagaan ng loob and a excite rin akong buksan kanina kasi nakabox talaga siya akala ko yung iba ko pang orders sa shopee yun pala ito na yun ! Gosh thanks God you fulfilled my wish for having a brand new Tablet😍Thank you very much seller and also to the delivery for handling my package! Again this is my happiest and suprising moments of my life! God bless po❤️,5
160242234242416,25711275011,14065476290,1706778267,1,1171090682,1066504758,Goods na rin para din syang mystery box kasi may legit na winning prizes nga kaya sulit talaga hindi sayang pera ko na bumili dito kasi useful lahat nung pinamigay niya kaya thankyou sayo seller kasi magagamit ko ito sa work and favorite kopa yung color na binigayniya kaya mas lalo akong natuwa thankyou po,5
160648159219664,25711275011,14121137974,1707194343,1,1056114818,1066504758,"Thank you so much seller! Highly recommended ko ang store na to kasi sobrang legit at may freebies pa. This product is very latest at ang quality ng tablet ay sobrang worth it. Sana madami pa kayong mapasayang tao tulad ko. Ito lang ang store na nakakuha ng trust ko kasi madami ng scammer ngayon pero ito talaga sobrang totoo mabibigla ka na lang ikaw pala nanalo. Noon, tulad din ako ng ibang tao na hindi na nagpapaniwala sa mga mystery box pero nakita ko kasi sa mga review na madaming nabigyan kaya nag try na rin ako, sa wakas sa dami dami ng binilhan ko ng mystery box itong store na to lang talaga ang nag reward sa akin. Maraming salamat seller. Please visit their store, promise ikaw na ang susunod na makakatanggap ng ganito. Sobrang worth it guys!!! 💯",5
160837230255277,25711275011,14155795701,1707465647,1,1092718301,1066504758,Salamat po at nanalo ako ng Grand Prize nyo!!! Highly recommended mga maam/sir may bagong tablet nanaman ako hehe super legit ang nakuha ko maraming salamat seller ang ganda ng camera very smooth gamitin pang gaming lalaro nanaman ako ng ml,5
160835884295835,25711275011,14155885080,1707466219,1,1094430279,1066504758,Hindi ako nag expect na ako ang napili mo seller grabi Ka seller nag sisigawan Kami Ng mga kapatid KO dito SA natanggap KO sobrang Ganda Ng tablet thank you talaga seller ang bait mo po 😭,5
160325492268636,25711275011,14075040705,1706852216,1,1172464069,1066504758,Finally dream come true napa iyak talaga ako sa tuwa huhu love it bagay sakin yung color thank you so much im grateful na received ko i thought vlogger lang may chance manalo pero tayo din pala its my birthday next week thanks for this advance birthday gift must try guys if you like more excitement highly recommended legit shop!!,5
160325952225043,25711275011,14075184551,1706853002,1,1172449024,1066504758,Salamat ng sobra salamat seller dininig mo prayer ko sobrang laki ng naibigay na tulong mo saken kung alam mo lang meron na pang online class anak ko dina kami manghihiram ng cp sa pinsan ko may magagamit na anak ko sa school nya salamat ng marami po seller!!!,5
161319734263170,25711275011,14225801767,1708194672,1,1179415779,1066504758,"Best Feature:Conveniently adjustable
Performance:It does it’s job fine
Product Quality:Good

The phone holder is cool but this was not what I was purchasing for. Saying this respectfully",5
164933147244845,25711275011,14748572022,1712029799,0,1216620779,1066504758,"Product Quality:good
Best Feature:good
Performance:good

But I felt disappointed Kasi phone holder yong dumating sakin",2
165295924232523,25711275011,14750322789,1712038171,0,1219307469,1066504758,"Product Quality:galing
Best Feature:napaka ganda
Performance:kalako tablet ano lang Pala ng cell phone tast ang mahal pa galing seller, 😀",3
161064618227830,25711275011,14177389813,1707712612,-1,555207849,1066504758,"Best Feature:very lawsy
Performance:very lawsy
Product Quality:poor

The product is lawsy and the seller never contacted on me you send me this items",1
164643578296500,25711275011,14632459979,1711264442,-1,1195833776,1066504758,"Performance:not good peke lang
Product Quality:not good its bad
Best Feature:nothing

Peke lang hindi totoo yung tablet iba ang dumating sa akin fake",1
165181675287577,25711275011,14774014365,1712184003,-1,1178586987,1066504758,"Product Quality:not good
Best Feature:not good
Performance:not good

Mali yung items na dumating sana wag nyu nmn lokohin yung mga bumibili
Tablet daw e yung dumating cellphone stand xcited pnmn yung anak ko nanlumo lng sya nung makita nyang iba yung dumating",1
162487677268657,25711275011,14343369670,1709177386,-1,1194272750,1066504758,"Product Quality:Useless
Best Feature:Very disappointing
Performance:Very disapointing

I'm stuck between, ""If it's not for you, you'll never get it."" And ""This is really scam.""",1
164974042240989,25711275011,14694183644,1711680033,-1,581931947,1066504758,"Wag Kayo bibili SA shop na to makoloko to ,table order ko ang dumati phone holder ,,,",1
164612075238611,25711275011,14646967066,1711362259,-1,1196866279,1066504758,"Performance:bad
Best Feature:bad
Product Quality:akala ko ang dumating ung tablet hinde pala.

Ayusin niyo naman.",1
165020758261200,25711275011,14722596294,1711862264,-1,1210147708,1066504758,"Performance:1
Best Feature:1
Product Quality:ok

Kala ko cp talaga Yon Pala Hinde",1
161729576272715,25711275011,14308758254,1708904911,1,661836670,1066504758,"Performance:very good
Best Feature:very good
Product Quality:very good",5
165070828263579,25711275011,14757527242,1712069972,-1,90005162,1066504758,"Best Feature:no item received
Product Quality:zero
Performance:poor",1
165243223203963,25711275011,14775184279,1712194522,-1,356901828,1066504758,"Product Quality:tablet order ko tapos dumating hahaha
Best Feature:wag nga kayo mangluko.
Performance:kung ano tinda yon talaga yon.

Ganyan vah yang tablet na Bago kakaluka .
Wag Naman kayo mangluko Ng kapwa nyong tao.",1
160646556242661,25711275011,14120923989,1707193135,1,1054168975,1066504758,Salamat ng sobra salamat seller dininig mo prayer ko sobrang laki ng naibigay na tulong mo saken kung alam mo lang meron na pang online class anak ko dina kami manghihiram ng cp sa pinsan ko may magagamit na anak ko sa school nya salamat ng marami po seller!!!,5
165257095210117,25711275011,14761335442,1712111787,-1,1200737913,1066504758,Phone holder ey,1
163167908204202,25711275011,14566064450,1710769880,-1,125170969,1066504758,,1
163658135242745,25711275011,14530522985,1710506232,-1,901452015,1066504758,,1
165227086220585,25711275011,14761176040,1712110773,1,321222204,1066504758,,5
165316533200485,25711275011,14758132471,1712073615,1,257956161,1066504758,,5
163038058235623,25711275011,14496324604,1710254865,1,105756549,1066504758,,5
161169170229104,25711275011,14440401102,1709856762,-1,991391386,1066504758,,1
163114190269417,25711275011,14461372016,1709987606,-1,962251766,1066504758,,1
163217067235230,25711275011,14491033308,1710225788,-1,1142466360,1066504758,,1
164825012241580,25711275011,14730719599,1711902639,-1,1213397468,1066504758,,1
164698340256395,25711275011,14712653484,1711789322,-1,1182239062,1066504758,,1
165515137202304,25711275011,14796213611,1712312628,-1,907650465,1066504758,,1
161692300240175,25711275011,14330557551,1709083662,0,1092838569,1066504758,,3
163026846270118,25711275011,14413511337,1709690888,1,481364528,1066504758,,5
