orderid,itemid,cmtid,ctime,userid,shopid,comment,rating_star
163301175237714,25562461389,14437881120,1709822058,1197398493,1066504758,Ilang bisis na akong sumubok finally im so lucky nanalo nako sa mystery giveaways and got dream phone thank you so much deserve ko ito advance birthday gift para sakin I am very satisfied for this brandnew cellphone,5
163432953245978,25562461389,14473612005,1710080664,1202888625,1066504758,"Ang smooth nya gamitin at malinaw din ang cam nya , sinubukan ko sya agad Kase pag new phone nakaka excited talaga gamitin  at I explore lahat, very nice transaction at mabait din si seller dahil nag u-update sya. Thank you to all of you.",5
163605591235271,25562461389,14484454766,1710163921,1204412872,1066504758,Thank you so much seller❤️ I was happy that the parcel was in a good condition. It was my first Instax camera super legit ng shop nato thank you seller 🥰,5
164126674247304,25562461389,14536593820,1710564386,829190118,1066504758,"Best Feature:0/0
Product Quality:0/0
Performance:0/0

Super super pngit iba ung dumting at kasinungling at mga budol nkakadismaya:;!! Nwawlan Ng Ganda ung mga mgorder:;!! Kung aq sinyo wg n wg n kyong mgorder kc d totoo super pngit:;!! Hndi totoo ung Nsa pcture budol lng at isa shng lng pngbyac:;!!!",1
164762442261105,25562461389,14636000403,1711283493,869711694,1066504758,"Best Feature:0
Performance:0
Product Quality:0

Mystery parcel po ang ilagay nyong product name",1
164034813292759,25562461389,14606830673,1711079605,616028475,1066504758,"Product Quality:good
Best Feature:great
Performance:nice",5
164001795254469,25562461389,14531066532,1710508940,1031874135,1066504758,"It's actually just a stand, the comments about the phone is just them",1
163606935243933,25562461389,14484723423,1710165457,1204428516,1066504758,Yey im so happy for this phone di ako makapaniwala nung una i always attract to have this one at ngayon got it here in Shopee all is well thank you very much seller surely ill buy mystry here again highly recommended fast delivery thanks again,5
163779794250018,25562461389,14525898638,1710483488,1206004122,1066504758,This is the second time na omorder ako dito sa shopee at hindi ako nabigo highly recommend sobrang merry talaga ang pasko ko ngayon hihi sana maraming tao pa magkaroon nito i am very grateful na isa ako sa napili. Thank you so much! I'll definitely will order again keep up the good work❤️,5
162652699271051,25562461389,14337891320,1709122394,1195819656,1066504758,Thank you so much shopee nag try lang ako mag order first time ko magkaroon ng samsung flip z di ako nag expect isa ako sa maswerte ng grand price kailangan ko talaga cellphone pang online class namin ngayon sana madami pa kayong matungan magkaroon ng ganito I highly recommend your shop sa mga kaklase at friends ko. Thankyou talaga❤️ at sa nag deliver na mabait fast delivery,5
163778664224356,25562461389,14526272208,1710485410,1205975281,1066504758,Thank you so much legit weve got a brandnew phone di ako makapaniwala samsung flip ang laman ng inorder namin sobrang na amaze talaga kami maraming salamat talaga highly recommended,5
163432221202996,25562461389,14473491554,1710079933,1202881195,1066504758,"I didn't expect myself to be so lucky na napili ako for this. I really love the product. Super sulit yung mga binayad ko para sa mystery vault hehe super dami ko natanggap, pamasko ata to ni seller hehe kudos po sainyo! Thank you sa seller sa super secured na box and sa pagpili sakin hahahaha ang sayaa ko now grabe. thankyouu po. more blessing pa po sa shop niyo.",5
163299675275855,25562461389,14437675695,1709821096,1197263960,1066504758,legit yung item at mabilis din dumating kudos sa seller at maayos ung packaging walang naging damage yung unit at kudos din dun kay kuyang rider buti pumayag na check muna yung item bago payment dahil first time mag order online sa mga nagbabalak bumili online recommend ko itong shop na to dahil legit talaga na cp yung dadating hindi bato..,5
162651493232958,25562461389,14337954415,1709122673,1195797528,1066504758,"Happy happy! Thank you seller for this brand new phone! Legit seller since then, nag oorder nako dito noon pa kahit wala pa kayong mystery box. Lahat ng products magaganda and nag try ako mag avail ng mystery box at nanalo ako sa raffle nitong week super happy and thankful ako sa nareceive ko🥰💖🤗",5
163258646229294,25562461389,14482381320,1710153271,8734273,1066504758,,2
165283134251244,25562461389,14725235030,1711874719,1209731865,1066504758,,5
164118867244232,25562461389,14694354737,1711681000,1165538194,1066504758,,2
