orderid,itemid,userid,shopid,comment,rating_star
131171523298065,12544232716,889538349,52308230,"Suitability:10/10

first off, gusto ko sabihin na ang bait ni seller. she's nice, approachable and patient sa mga inquiries ko. the books arrived in good condition. super dali din dumating since mindanao area lng din naman ako. maganda din ang packaging, at may free bookmark pa. if you like secondhand books the same way i do, i recommend this shop 100% (plus may plastic covers din pala ang books, ang thoughtful!)",5
112338575195339,12544232716,257837816,52308230,"Suitability:Very good.

(video unrelated)

My order came earlier than expected and was very well packaged. The quality of the books is superb, kudos to the seller! Thank you for adding the plastic cover and for the cute bookmark 💗 I will definitely be making another purchase soon.",5
110867382180290,12544232716,517636935,52308230,"hii! na-received ko na po siya nung nakaraan kaso hindi ako makapagrating noon. the books are in good condition and it has no dents or damage at all. naka-bubble wrapped po nang mabuti at may cute na ice cream freebie pa! the seller is kind and v responsive, thank you po! ^^",5
128602941208671,12544232716,772010773,52308230,"Suitability:like new

Receive my orders, ang ganda nya po sobra. Parang bago lang. Ng offer din si seller na i plastic cover nya yung book for free. Parang bago ang books ang bait pa ni seller very accomodating. I highly recommend this shop. I'll order again soon after ko basahin tong 4 books ang kapal kasi ng nga napili ko😁 Thank you seller and God Bless.😇",5
112745890107155,12544232716,517636935,52308230,"i finally received the books! the books are in a good condition and it was secured very well. 'di po talaga ako nadismaya sa shop na ito. v responsive and kind si seller, thank you po! i'm currently reading the teacher's trouble. will order from this shop again! ^^",5
161268753283882,12544232716,1109271146,52308230,"Suitability:the books are in great condition

Ang ganda ng books! May freebie pang bookmark! Ang bait ni seller Super Nalate lang review kasi nabusy sa pagbabasa. Overall magandang maganda talaga. Thank you seller Sa uulitin!",5
110803065144740,12544232716,487682318,52308230,I'm super happy with this purchase po! Sobrang ganda ng mga books at may cover pa. Sobrang secured din ng packaging. Thank you so much po!!!!❤🤗,5
159256034253816,12544232716,1139721835,52308230,"Suitability:very good

Perfect i didn't expect the book will be this beautiful its perfect, i will order again and about the seller they are good they ask about the order and etc. i will literally order again thanks to the seller 😊",5
108167419391464,12544232716,335942040,52308230,"If I could rate this a hundred star, I literally would! I love all the books, they're all in a perfect condition. I super love it! Can't wait to read all of em. Special thanks to the very kind seller, thank u so much for the great service! Till next purchase!",5
102031472559872,12544232716,426756099,52308230,"yey tysm ardy received it in just 6 days!! the books were so niceee i cry t.t ambait bait ni seller dito, ni entertain ako kahit late nako  nag message sa kanya and even send me bunch of pics and vids of the items so i can choose. Thank uu po ulett Godbless!! I'll defo buy again",5
109831971121151,12544232716,164002627,52308230,"Suitability:.

super ganda and may cover pa siya!! also ang bait ni seller, thank you seller!!! bibili ulit ako next time, thank you seller and kay kuyang rider! kahit 100+ shipping fee okay lang worth it naman! buy na kayo",5
114097386212597,12544232716,754473262,52308230,"Suitability:5/5

well packaged nung dumating and grabe ang bait ni seller, may plastic cover at free bookmark! really enjoyed my first read, definitely recommended this store for its cheap pocketbooks. thank you so much pooo! 💌",5
111514927154931,12544232716,370249913,52308230,"Suitability:ilove it

legittt angganda ireally love it, ang linis ng book and also di dugyot worth it ung 150 diro grabe, and ung seller ambait masyado iswear!",5
143474818228220,12544232716,285772793,52308230,"Suitability:The author that i wanted was not available, they still gave me the same genre that i wanted and i really loved the selection that they gave me!!🫶

The books has signs of usage. They still look neat and the books are still in good condition, halatang inaalagaan  talaga nila yung mga books at nilagyan pa nila ng covers. This made made my heart so happy!!☺️❤️",5
113641402299874,12544232716,150992435,52308230,"Wow ang bilis nkarating.super bait pa ni seller ngsend ng video at photos sa mga books na napili nya.legit na legit.salamat ng marami seller,shopee at ng rider na npkabait din.God bless.",5
155026109227813,12544232716,942863356,52308230,"Suitability:very good

The books are still in good shape and oh! The seller is nice too! I recommend everyone who loves to read to buy in this shop you won't be disappointed.",5
108937726326561,12544232716,498629197,52308230,All items are good po and napaka ayos po pagbalot. Ang bait din ni seller. Thank you so much. I will order po again 💗,5
106309700564412,12544232716,479876952,52308230,All the books are in good condition since it was covered with cellophane. Expected na may konting damages sa libro since it's prelove but the books are fine and still readable.Maganda din kasi ikaw ang pipili sa libro at responsive din si  seller.,5
160713634276521,12544232716,1041440647,52308230,"Suitability:very nice

the seller is very responsive and accomodating. she answers any queries and request well. the books were all in good condition. i will definitely order again😊 the books were also ship faster than i expected. kudos to kuya rider for coming back at our house just to deliver my parcel two times with in a day because of my miscommunication.",5
107250177518126,12544232716,459688238,52308230,"nanditoo naaaa, late ang pag rate pasensyaa hahaha 😫 the book is in very good condition for the price and may plastic cover pa yung mismong book so 👌 planning to buy in this shop again. the seller is very accommodating, and super bilis magrespond and mag ship ❤️",5
138458701233956,12544232716,48733717,52308230,Ang ganda po nung condition ng mga books at ang bait po ni seller kasi nilagyan niya pa ng plastic cover yung books😊. Very accommodating yung seller hindi ka sine-seen nag re-reply siya sa mga chats kaya bibili pa talaga ako dito kapag natapos ko nang mabasa lahat ng books na nabili ko dito. Ang ganda nung story ng isang book natapos ko nang basahin ngayun sa pangalawa na akong book😁,5
97608332670817,12544232716,90472062,52308230,"packed as in ayaw ng pabuksan ni seller 💌, super tight and secured thank you seller , Ambait pa ni seller sa mga inquriesmore selling to you seller,
Happy shopping",5
111424394159573,12544232716,788628889,52308230,Ang bait ni seller. Safe rin na dumating ung books with plastic cover pa. Will probably order again. Thank you seller! Very worth it.,5
136560402279938,12544232716,234829638,52308230,"Worth every penny. Ang gaganda pa ng condition ng books kahit preloved. 

Kodus din kay seller napaka responsive at ang bait💕",5
110110279133198,12544232716,754202961,52308230,Thaaank you seller. The books was in good condition and loved the book mark😍🥰.,5
110078376136901,12544232716,281615395,52308230,FINALLY DUMATING NA!! MAAYOS AT MAGANDA PA DIN SILA SA SOBRANG GANDA NG MGA BOOKS HINDI KO MAKALIMUTAN NA NILOKO NIYA KO SA KABILA NG LAHAT NG GINAWA KO PARA SA KANYA,5
127127134280045,12544232716,380757908,52308230,"Super gandaaaaaa!!! Ang bait ng seller, pinapili talaga ako. Kaya naman hindi ako disappointed sa mga dumating sa'kin. May plastic cover pa! will order again, soon. Thank you!",5
163133345229783,12544232716,481424001,52308230,"Napakabait po ni seller. May plastic cover na yung mga books, binalutan na din nila. Medyo natagalan pero okay lang, medyo malayo din kasi pinang galingan ng books. Will buy again ulit pag natapos ko na ung apat na books.",5
137633767274522,12544232716,282412310,52308230,Fast shipping and delivery. Kudos to the sender. Hoping to see more interesting titles in your shop. Very affordable. 5 stars overall.,5
139768127249966,12544232716,901016225,52308230,"Thank you! the items arrived safely and are in good condition. Thank you to the seller who has been  kind enough to send all the books available and was patient enough while I try to choose what books I'm going to buy and also replies fast and asking if I wanted the books to be wrapped in plastic. 
Enjoyed shopping here and definitely recommend this shop. 
Shipping took a bit long but it's probably because of the stormy weather right now but all is still good. 
Also free bookmark!",5
105608888659160,12544232716,627416379,52308230,The product came in a good condition and ang bait din ni ateng seller.,5
98585574565132,12544232716,283862621,52308230,I love it! In good condition but hindi ko pa nababasa since may tinatapos pa akong book. Super nice din ni seller and naguupdate din siya 💛👍,5
